Candidate,Share Name,Amount
ABHIJIT GANGOPADHYAY (Winner),Canara Bank,"1,88,400"
ABHIJIT GANGOPADHYAY (Winner),Allahabad Bank presently Indian Bank,"55,500"
ABHIJIT GANGOPADHYAY (Winner),Allahabad Bank presently Indian Bank,"55,500"
ABHIJIT GANGOPADHYAY (Winner),Allahabad Bank presently Indian Bank,"55,500"
ABHIJIT GANGOPADHYAY (Winner),Vijaya Bank,"4,600"
ABHIJIT GANGOPADHYAY (Winner),Union Bank of India,"15,600"
ABHIJIT GANGOPADHYAY (Winner),Union Bank of India,"15,600"
ABHIJIT GANGOPADHYAY (Winner),Union Bank of India,"15,600"
ADHIKARI DEEPAK (DEV) (Winner),Axis india Manufacturing,"11,41,942"
ADHIKARI DEEPAK (DEV) (Winner),Bajaj Finserve Balanced Advantage Fund,"10,40,347"
ADHIKARI DEEPAK (DEV) (Winner),Edelweiss Balance Advantage,"13,33,660"
ADHIKARI DEEPAK (DEV) (Winner),Tata Multicap Fund,"12,70,846"
ADHIKARI DEEPAK (DEV) (Winner),White Oak Capital Large & Midcap,"10,58,547"
ADHIKARI DEEPAK (DEV) (Winner),Edelweiss Balance Advantage,"12,80,139"
ADHIKARI DEEPAK (DEV) (Winner),SBI Long Duration Fund,"1,11,62,430"
ADHIKARI DEEPAK (DEV) (Winner),SBI Contra Fund,"16,04,762"
ADHIKARI DEEPAK (DEV) (Winner),HSBC Multi Cap Fund,"15,59,092"
ADHIKARI DEEPAK (DEV) (Winner),Dev Entertainment Venture PVT LTD,"50,000"
ADHIKARI SOUMENDU (Winner),Mutual Fund,"2,80,000"
ADITYA YADAV (Winner),Vinky Impex Pvt. Ltd,"68,67,804"
ADITYA YADAV (Winner),Adhar Buildcon India Private Limited,"90,13,530"
ADITYA YADAV (Winner),Sparkline Properties Private Limited,"3,41,94,877"
ADITYA YADAV (Winner),Apollo Properties and Estates Pvt Ltd,"40,65,780"
ADITYA YADAV (Winner),Euro Plaza Private Limited,"50,000"
ADITYA YADAV (Winner),Ankur Rice Industries Private Limited,"10,99,645"
ADITYA YADAV (Winner),Sparkline Infracon Private Limited,"3,16,72,718"
ADITYA YADAV (Winner),Kailan Reail Corn Pvt. Ltd,"50,000"
ADITYA YADAV (Winner),JNK Auto Mobiles Pvt. Ltd.,"45,50,678"
