2024/09/02 15:10:09 symbol,company,series,purpose,face_value,ex_date,record_date,bc_start,bc_end,ratio
RELIANCE,Reliance Industries Limited,EQ,Demerger,10,2023-07-20,2023-07-20,1970-01-01,1970-01-01,1.001
RELIANCE,Reliance Industries Limited,EQ, rights 1:15  @  premium rs 1247,10,2020-05-13,2020-05-14,1970-01-01,1970-01-01,1
RELIANCE,Reliance Industries Limited,EQ,Dividend - Rs 8 Per Share,10,2022-08-18,2022-08-19,1970-01-01,1970-01-01,1
RELIANCE,Reliance Industries Limited,EQ, Dividend - Rs 7 Per Share,10,2021-06-11,2021-06-14,1970-01-01,1970-01-01,1
RELIANCE,Reliance Industries Limited,EQ, Dividend - Rs 6.50  Per Share,10,2020-07-02,2020-07-03,1970-01-01,1970-01-01,1
RELIANCE,Reliance Industries Limited,EQ, Rights 1:15 @ Premium Rs 1247,10,2020-05-13,2020-05-14,1970-01-01,1970-01-01,1.00999999046326
RELIANCE,Reliance Industries Limited,EQ, Annual General Meeting/Dividend - Rs 6.50 Per Share,10,2019-08-02,2019-08-05,1970-01-01,1970-01-01,1
RELIANCE,Reliance Industries Limited,EQ, Dividend- Rs 6 Per Share,10,2018-06-27,2018-06-28,1970-01-01,1970-01-01,1
RELIANCE,Reliance Industries Limited,EQ, Bonus 1:1,10,2017-09-07,2017-09-09,1970-01-01,1970-01-01,2
RELIANCE,Reliance Industries Limited,EQ, Dividend -  Rs 11/- Per Share,10,2017-07-13,2017-07-14,1970-01-01,1970-01-01,1

