2024/09/02 15:55:41 symbol,company,series,purpose,face_value,ex_date,record_date,bc_start,bc_end,ratio
TCS,Tata Consultancy Services Limited,EQ,Dividend - Rs 28 Per Share,1,2024-05-16,2024-05-16,1970-01-01,1970-01-01,1
TCS,Tata Consultancy Services Limited,EQ,Interim Dividend - Rs 9 Per Share Special Dividend - Rs 18 Per Share,1,2024-01-19,2024-01-19,1970-01-01,1970-01-01,1
TCS,Tata Consultancy Services Limited,EQ,Buy Back,1,2023-11-24,2023-11-25,1970-01-01,1970-01-01,1
TCS,Tata Consultancy Services Limited,EQ,Interim Dividend - Rs 9 Per Share,1,2023-10-19,2023-10-19,1970-01-01,1970-01-01,1
TCS,Tata Consultancy Services Limited,EQ,Interim Dividend - Rs 9 Per Share,1,2023-07-20,2023-07-20,1970-01-01,1970-01-01,1
TCS,Tata Consultancy Services Limited,EQ,Dividend - Rs 24 Per Share,1,2023-06-15,2023-06-15,1970-01-01,1970-01-01,1
TCS,Tata Consultancy Services Limited,EQ,Interim Dividend - Rs 8 Per Share Special Dividend - Rs 67 Per Share,1,2023-01-16,2023-01-17,1970-01-01,1970-01-01,1
TCS,Tata Consultancy Services Limited,EQ,Interim Dividend - Rs 8 Per Share,1,2022-10-17,2022-10-18,1970-01-01,1970-01-01,1
TCS,Tata Consultancy Services Limited,EQ,Interim Dividend- Rs 8 Per Share,1,2022-07-14,2022-07-16,1970-01-01,1970-01-01,1
TCS,Tata Consultancy Services Limited,EQ,Dividend - Rs 22 Per Share,1,2022-05-25,2022-05-26,1970-01-01,1970-01-01,1
TCS,Tata Consultancy Services Limited,EQ,Buyback,1,2022-02-22,2022-02-23,1970-01-01,1970-01-01,1
TCS,Tata Consultancy Services Limited,EQ,Interim Dividend - Rs 7 Per Share,1,2022-01-19,2022-01-20,1970-01-01,1970-01-01,1
TCS,Tata Consultancy Services Limited,EQ, Interim Dividend - Rs 7 Per Share,1,2021-10-14,2021-10-19,1970-01-01,1970-01-01,1
TCS,Tata Consultancy Services Limited,EQ, Interim Dividend - Rs 7 Per Share,1,2021-07-15,2021-07-16,1970-01-01,1970-01-01,1
TCS,Tata Consultancy Services Limited,EQ, Dividend - Rs 15 Per Share,1,2021-05-25,2021-05-27,1970-01-01,1970-01-01,1
TCS,Tata Consultancy Services Limited,EQ, Interim Dividend - Rs 6 Per Share,1,2021-01-14,2021-01-16,1970-01-01,1970-01-01,1
TCS,Tata Consultancy Services Limited,EQ, Buyback,1,2020-11-26,2020-11-28,1970-01-01,1970-01-01,1
TCS,Tata Consultancy Services Limited,EQ, Interim Dividend - Rs 12 Per Share,1,2020-10-14,2020-10-15,1970-01-01,1970-01-01,1
TCS,Tata Consultancy Services Limited,EQ, Interim Dividend - Rs    5 Per Share,1,2020-07-16,2020-07-17,1970-01-01,1970-01-01,1
TCS,Tata Consultancy Services Limited,EQ, Dividend - Rs 6 Per Share,1,2020-06-03,2020-06-04,1970-01-01,1970-01-01,1
